username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
LafonClark-r3r,2026-01-24T17:41:22Z,0,"Post Quantum Polymorphic Prompt Injection Via Deep Fake <a href=""http://www.youtube.com/results?search_query=%23ai"">#AI</a>","['post', 'quantum', 'polymorphic', 'prompt', 'injection', 'via', 'deep', 'fake', 'href', 'http', 'www', 'youtube', 'com', 'result', 'search', 'query']",16,123,10
MahboobaliAli-i5l,2026-01-23T14:29:07Z,0,"Absolute perfection, what a tutorial!","['absolute', 'perfection', 'tutorial']",3,37,5
Blackwhite2277,2026-01-22T21:27:44Z,0,"If we are allowing AI to do EVERYTHING, only an elite group of people will be able to actually work (100 employees will be replaced with AI + 1 or 2 managers).  Now artists too? Where is human kind going?","['allowing', 'everything', 'elite', 'group', 'people', 'able', 'actually', 'work', 'employee', 'replaced', 'manager', 'artist', 'human', 'kind', 'going']",15,204,40
stamdar1,2026-01-22T17:27:42Z,0,honestly so impressed by him writing backwards,"['honestly', 'impressed', 'writing', 'backwards']",4,46,7
DhivyabharathiB-t3v,2026-01-22T04:26:38Z,0,Informative.. Clear Info sir.,"['informative', 'clear', 'info', 'sir']",4,29,4
marpro212,2026-01-20T12:51:05Z,0,I’m impressed with how you can write in a mirrored/backward direction on the board.,"['impressed', 'write', 'mirrored', 'backward', 'direction', 'board']",6,83,14
nestorrivas7703,2026-01-20T11:38:45Z,0,"NHIs seem to be the next generation of service accounts, 😬","['nhis', 'seem', 'next', 'generation', 'service', 'account']",6,58,11
cumMan270,2026-01-19T06:46:35Z,0,Your explanation of shadow AI is a good example of why IBM is failing,"['explanation', 'shadow', 'good', 'example', 'ibm', 'failing']",6,69,14
stantkatchenko1341,2026-01-19T04:42:15Z,0,"Wish list, let&#39;s talk about AI and AI security in criminal intelligence and defence .. I assume you guessed it. It is where big $$$ $$$ $$$ are.","['wish', 'list', 'let', 'talk', 'security', 'criminal', 'intelligence', 'defence', 'assume', 'guessed', 'big']",11,148,28
m_0_h_1_t,2026-01-18T17:09:25Z,0,Thank you Jeff. I am a senior SOC Analyst and I want to know what side projects ( not too hard pls :p) would you suggest considering all the latest tech trends for this year. Thank you again.,"['thank', 'jeff', 'senior', 'soc', 'analyst', 'want', 'know', 'side', 'project', 'hard', 'pls', 'would', 'suggest', 'considering', 'latest', 'tech', 'trend', 'year', 'thank']",19,191,38
youtube-64bts,2026-01-17T06:17:37Z,0,"Thank you IBM for the presentation. <br> &quot;In God we trust. All others must bring data,&quot; Edwards Deming. Yes, I found it using AI search. <br>But seriously, there needs to be a culture that values ​​ethics and human beings, or the machines will destroy us, not with violence like in the movies, but they could leave us mentally unstable or ill.","['thank', 'ibm', 'presentation', 'quot', 'god', 'trust', 'others', 'must', 'bring', 'data', 'quot', 'edward', 'deming', 'yes', 'found', 'using', 'search', 'seriously', 'need', 'culture', 'value', 'ethic', 'human', 'being', 'machine', 'destroy', 'violence', 'like', 'movie', 'could', 'leave', 'mentally', 'unstable', 'ill']",34,353,61
