caption_sentence,cleaned_tokens
It's become something of a tradition here on the IBM technology channel to do here on the IBM technology channel to do here on the IBM technology channel to do a video at the end of each year where we a video at the end of each year where we a video at the end of each year where we look back at the past year in cyber look back at the past year in cyber look back at the past year in cyber security and then make a few predictions security and then make a few predictions security and then make a few predictions for the future.,"['become', 'something', 'tradition', 'ibm', 'technology', 'channel', 'ibm', 'technology', 'channel', 'ibm', 'technology', 'channel', 'video', 'end', 'year', 'video', 'end', 'year', 'video', 'end', 'year', 'look', 'back', 'past', 'year', 'cyber', 'look', 'back', 'past', 'year', 'cyber', 'look', 'back', 'past', 'year', 'cyber', 'security', 'make', 'prediction', 'security', 'make', 'prediction', 'security', 'make', 'prediction', 'future']"
"We did this in 2023, for the future.",['future']
"We did this in 2023, for the future.",['future']
"We did this in 2023, again in 2024, and in 2025.",[]
"And I'm back again in 2024, and in 2025.",['back']
"And I'm back again in 2024, and in 2025.",['back']
And I'm back again to dust off my crystal ball and again to dust off my crystal ball and again to dust off my crystal ball and tell you what I see.,"['back', 'dust', 'crystal', 'ball', 'dust', 'crystal', 'ball', 'dust', 'crystal', 'ball', 'tell', 'see']"
"Oh, and by the way, tell you what I see.","['way', 'tell', 'see']"
"Oh, and by the way, tell you what I see.","['way', 'tell', 'see']"
"Oh, and by the way, this year I might have cheated just a this year I might have cheated just a this year I might have cheated just a little bit.","['way', 'year', 'might', 'cheated', 'year', 'might', 'cheated', 'year', 'might', 'cheated', 'little', 'bit']"
So stick around to the end little bit.,"['stick', 'around', 'end', 'little', 'bit']"
So stick around to the end little bit.,"['stick', 'around', 'end', 'little', 'bit']"
So stick around to the end to hear my confession.,"['stick', 'around', 'end', 'hear', 'confession']"
"Okay, let's take to hear my confession.","['okay', 'let', 'take', 'hear', 'confession']"
"Okay, let's take to hear my confession.","['okay', 'let', 'take', 'hear', 'confession']"
"Okay, let's take a look and see how the predictions from a look and see how the predictions from a look and see how the predictions from 2025 and beyond stacked up.","['okay', 'let', 'take', 'look', 'see', 'prediction', 'look', 'see', 'prediction', 'look', 'see', 'prediction', 'beyond', 'stacked']"
"Well, I said 2025 and beyond stacked up.","['well', 'said', 'beyond', 'stacked']"
"Well, I said 2025 and beyond stacked up.","['well', 'said', 'beyond', 'stacked']"
"Well, I said a lot of the stuff was going to be a lot of the stuff was going to be a lot of the stuff was going to be around AI.","['well', 'said', 'lot', 'stuff', 'going', 'lot', 'stuff', 'going', 'lot', 'stuff', 'going', 'around']"
We were get some positives around AI.,"['get', 'positive', 'around']"
We were get some positives around AI.,"['get', 'positive', 'around']"
We were get some positives and some negatives.,"['get', 'positive', 'negative']"
And I think that's and some negatives.,"['think', 'negative']"
And I think that's and some negatives.,"['think', 'negative']"
And I think that's turned out to be the case.,"['think', 'turned', 'case']"
If you look turned out to be the case.,"['look', 'turned', 'case']"
If you look turned out to be the case.,"['look', 'turned', 'case']"
"If you look at AI in particular, it has done some at AI in particular, it has done some at AI in particular, it has done some good things for us, but I'm in cyber good things for us, but I'm in cyber good things for us, but I'm in cyber security, so I'm focused on some of the security, so I'm focused on some of the security, so I'm focused on some of the negative aspects of how AI is getting negative aspects of how AI is getting negative aspects of how AI is getting used against us first.","['look', 'particular', 'done', 'particular', 'done', 'particular', 'done', 'good', 'thing', 'cyber', 'good', 'thing', 'cyber', 'good', 'thing', 'cyber', 'security', 'focused', 'security', 'focused', 'security', 'focused', 'negative', 'aspect', 'getting', 'negative', 'aspect', 'getting', 'negative', 'aspect', 'getting', 'used', 'first']"
"So shadow AI, used against us first.","['shadow', 'used', 'first']"
"So shadow AI, used against us first.","['shadow', 'used', 'first']"
"So shadow AI, that's an example of an AI implementation where no one approved this thing.","['shadow', 'example', 'implementation', 'one', 'approved', 'thing']"
It just exists.,['exists']
"Somebody downloaded something into a cloud, put in a model, and they were off to the in a model, and they were off to the in a model, and they were off to the races.","['somebody', 'downloaded', 'something', 'cloud', 'put', 'model', 'model', 'model', 'race']"
Shadow AI instances we have seen races.,"['shadow', 'instance', 'seen', 'race']"
Shadow AI instances we have seen races.,"['shadow', 'instance', 'seen', 'race']"
Shadow AI instances we have seen be costly.,"['shadow', 'instance', 'seen', 'costly']"
Uh I predicted they would be.,"['predicted', 'would']"
be costly.,['costly']
Uh I predicted they would be.,"['predicted', 'would']"
be costly.,['costly']
Uh I predicted they would be.,"['predicted', 'would']"
They are.,[]
"Uh, every year IBM runs a cost They are.","['every', 'year', 'ibm', 'run', 'cost']"
"Uh, every year IBM runs a cost They are.","['every', 'year', 'ibm', 'run', 'cost']"
"Uh, every year IBM runs a cost of a data breach report and in this we of a data breach report and in this we of a data breach report and in this we figure out how much it costs when an figure out how much it costs when an figure out how much it costs when an organization has their data breached or has their data compromised.","['every', 'year', 'ibm', 'run', 'cost', 'data', 'breach', 'report', 'data', 'breach', 'report', 'data', 'breach', 'report', 'figure', 'much', 'cost', 'figure', 'much', 'cost', 'figure', 'much', 'cost', 'organization', 'data', 'breached', 'data', 'compromised']"
One of the has their data compromised.,"['one', 'data', 'compromised']"
One of the has their data compromised.,"['one', 'data', 'compromised']"
One of the findings in that report uh justifies what I was saying here.,"['one', 'finding', 'report', 'justifies', 'saying']"
"$670,000 more for organizations that had a data more for organizations that had a data more for organizations that had a data breach and had shadow AI.","['organization', 'data', 'organization', 'data', 'organization', 'data', 'breach', 'shadow']"
So shadow AI breach and had shadow AI.,"['shadow', 'breach', 'shadow']"
So shadow AI breach and had shadow AI.,"['shadow', 'breach', 'shadow']"
So shadow AI contributed to an additional cost whenever a data breach occurred.,"['shadow', 'contributed', 'additional', 'cost', 'whenever', 'data', 'breach', 'occurred']"
So that's a big problem.,"['big', 'problem']"
Uh compounding this is the fact that the cost of a data this is the fact that the cost of a data this is the fact that the cost of a data breach report also found that 60% of breach report also found that 60% of breach report also found that 60% of organizations don't have an AI governance or security policy in place to guard against shadow AI.,"['compounding', 'fact', 'cost', 'data', 'fact', 'cost', 'data', 'fact', 'cost', 'data', 'breach', 'report', 'also', 'found', 'breach', 'report', 'also', 'found', 'breach', 'report', 'also', 'found', 'organization', 'governance', 'security', 'policy', 'place', 'guard', 'shadow']"
So it to guard against shadow AI.,"['guard', 'shadow']"
So it to guard against shadow AI.,"['guard', 'shadow']"
So it already costs more and we don't have the already costs more and we don't have the already costs more and we don't have the guardrails in place to prevent it.,"['already', 'cost', 'already', 'cost', 'already', 'cost', 'guardrail', 'place', 'prevent']"
I guardrails in place to prevent it.,"['guardrail', 'place', 'prevent']"
I guardrails in place to prevent it.,"['guardrail', 'place', 'prevent']"
I think this is going to continue to be an think this is going to continue to be an think this is going to continue to be an issue for us.,"['think', 'going', 'continue', 'think', 'going', 'continue', 'think', 'going', 'continue', 'issue']"
"deep fakes, where you use issue for us.","['deep', 'fake', 'use', 'issue']"
"deep fakes, where you use issue for us.","['deep', 'fake', 'use', 'issue']"
"deep fakes, where you use generative AI to generate pictures, uh, audio, video of another person, maybe real or not real, doing things that they real or not real, doing things that they real or not real, doing things that they never did, saying things they never said, this kind of thing.","['deep', 'fake', 'use', 'generative', 'generate', 'picture', 'audio', 'video', 'another', 'person', 'maybe', 'real', 'real', 'thing', 'real', 'real', 'thing', 'real', 'real', 'thing', 'never', 'saying', 'thing', 'never', 'said', 'kind', 'thing']"
"I I'm said, this kind of thing.","['said', 'kind', 'thing']"
"I I'm said, this kind of thing.","['said', 'kind', 'thing']"
I I'm concerned about this and how it could be concerned about this and how it could be concerned about this and how it could be used.,"['concerned', 'could', 'concerned', 'could', 'concerned', 'could', 'used']"
"It can be used for fun stuff, for used.","['used', 'fun', 'stuff', 'used']"
"It can be used for fun stuff, for used.","['used', 'fun', 'stuff', 'used']"
"It can be used for fun stuff, for entertainment, but misused in terms of cyber attacks.","['used', 'fun', 'stuff', 'entertainment', 'misused', 'term', 'cyber', 'attack']"
"And in particular, we've seen this occur.","['particular', 'seen', 'occur']"
There was one report I seen this occur.,"['one', 'report', 'seen', 'occur']"
There was one report I seen this occur.,"['one', 'report', 'seen', 'occur']"
"There was one report I found where they in uh 2023 they were found where they in uh 2023 they were found where they in uh 2023 they were seeing about 500,000 instances of deep fakes that they were able to catalog and fakes that they were able to catalog and fakes that they were able to catalog and observe.","['one', 'report', 'found', 'found', 'found', 'seeing', 'instance', 'deep', 'fake', 'able', 'catalog', 'fake', 'able', 'catalog', 'fake', 'able', 'catalog', 'observe']"
In 2025 that number moved to 8 observe.,"['number', 'moved', 'observe']"
In 2025 that number moved to 8 observe.,"['number', 'moved', 'observe']"
In 2025 that number moved to 8 million.,"['number', 'moved', 'million']"
So if you're doing the math at million.,"['math', 'million']"
So if you're doing the math at million.,"['math', 'million']"
"So if you're doing the math at home that's a 1,500% increase.","['math', 'home', 'increase']"
"So, uh, I think the prediction increase.","['think', 'prediction', 'increase']"
"So, uh, I think the prediction increase.","['think', 'prediction', 'increase']"
"So, uh, I think the prediction that we would see more deep fakes is that we would see more deep fakes is that we would see more deep fakes is definitely happening and I think we're going to see them become even more going to see them become even more going to see them become even more pervasive as we move forward.","['think', 'prediction', 'would', 'see', 'deep', 'fake', 'would', 'see', 'deep', 'fake', 'would', 'see', 'deep', 'fake', 'definitely', 'happening', 'think', 'going', 'see', 'become', 'even', 'going', 'see', 'become', 'even', 'going', 'see', 'become', 'even', 'pervasive', 'move', 'forward']"
Using AI pervasive as we move forward.,"['using', 'pervasive', 'move', 'forward']"
Using AI pervasive as we move forward.,"['using', 'pervasive', 'move', 'forward']"
Using AI to generate exploits where we find a to generate exploits where we find a to generate exploits where we find a vulnerability and then go to the AI and vulnerability and then go to the AI and vulnerability and then go to the AI and have it generate.,"['using', 'generate', 'exploit', 'find', 'generate', 'exploit', 'find', 'generate', 'exploit', 'find', 'vulnerability', 'vulnerability', 'vulnerability', 'generate']"
"Yes, we've seen that.","['yes', 'seen']"
have it generate.,['generate']
"Yes, we've seen that.","['yes', 'seen']"
have it generate.,['generate']
"Yes, we've seen that.","['yes', 'seen']"
We've seen AI generated malware and that We've seen AI generated malware and that We've seen AI generated malware and that malware is more sophisticated.,"['seen', 'generated', 'malware', 'seen', 'generated', 'malware', 'seen', 'generated', 'malware', 'malware', 'sophisticated']"
"So, one of the things it can be is what we call of the things it can be is what we call of the things it can be is what we call polymorphic.","['one', 'thing', 'call', 'thing', 'call', 'thing', 'call', 'polymorphic']"
Polymorphic malware is stuff that can change over time.,"['polymorphic', 'malware', 'stuff', 'change', 'time']"
"So, stuff that can change over time.","['stuff', 'change', 'time']"
"So, stuff that can change over time.","['stuff', 'change', 'time']"
"So, it's harder to detect, which means uh it's harder to detect, which means uh it's harder to detect, which means uh it's tougher for the bad for the good it's tougher for the bad for the good it's tougher for the bad for the good guys to defend against this.","['harder', 'detect', 'mean', 'harder', 'detect', 'mean', 'harder', 'detect', 'mean', 'tougher', 'bad', 'good', 'tougher', 'bad', 'good', 'tougher', 'bad', 'good', 'guy', 'defend']"
And the bar guys to defend against this.,"['bar', 'guy', 'defend']"
And the bar guys to defend against this.,"['bar', 'guy', 'defend']"
And the bar got lower for the bad guys who are got lower for the bad guys who are got lower for the bad guys who are creating it in the first place.,"['bar', 'got', 'lower', 'bad', 'guy', 'got', 'lower', 'bad', 'guy', 'got', 'lower', 'bad', 'guy', 'creating', 'first', 'place']"
"So, they creating it in the first place.","['creating', 'first', 'place']"
"So, they creating it in the first place.","['creating', 'first', 'place']"
"So, they get more intelligent malware that was easy to create because all they had to easy to create because all they had to easy to create because all they had to do was go to an AI and have it do the do was go to an AI and have it do the do was go to an AI and have it do the work.","['get', 'intelligent', 'malware', 'easy', 'create', 'easy', 'create', 'easy', 'create', 'work']"
And the defense side is actually work.,"['defense', 'side', 'actually', 'work']"
